vpNames,peakLat,onset,offset,areaLat,mean,peakAmp,area,width,baseline,meanAmp
CM5,0.358,0.264,0.374,0.328,-0.0665518241862925,-0.843574895101924,-28.7749585098019,0.11,-0.253072468530577,-0.513838544817891
CM6,0.302,0.202,0.392,0.302,-2.45362121944686,-5.26944482478955,-329.562662732522,0.19,-1.58083344743686,-3.43294440346377
CM8,0.282,0.25,0.32,0.284,-1.05745289841035,-1.69347940266649,-42.7460824545792,0.07,-0.508043820799948,-1.18739117929387
CM9,0.394,0.372,0.44,0.406,-0.815161237173457,-2.78223975476294,-71.7254358173341,0.068,-0.834671926428881,-2.04929816620955
CN0,0.296,0.244,0.372,0.312,-2.17470374320132,-4.55496832009419,-222.823121387345,0.128,-1.36649049602826,-3.42804802134377
CN1,0.428,0.414,0.48,0.448,0.128179655466355,-0.601951850802603,-15.9381127593556,0.066,-0.180585555240781,-0.468768022333988
CN2,0.324,0.208,0.408,0.306,-0.73699352915291,-1.7789376103234,-121.97612018666,0.2,-0.533681283097021,-1.20768435828376
CN3,0.394,0.29,0.474,0.39,-0.995362813521669,-1.97861791034703,-102.129138829109,0.184,-0.593585373104111,-1.0981627831087
CN4,0.264,0.216,0.386,0.294,-1.65252286676248,-2.8386976459184,-178.203980994689,0.17,-0.851609293775521,-2.07213931389173
CN5,0.272,0.22,0.43,0.322,-2.38354251959487,-4.06198486045384,-262.292822953213,0.21,-1.21859545813615,-2.47446059389824
CQ0,0.358,0.32,0.396,0.358,-0.0858528030482618,-0.678589237885739,-20.6982624492957,0.076,-0.203576771365722,-0.530724678187068
CU0,0.268,0.242,0.312,0.276,-0.537059076944018,-1.00482751494972,-25.3306211442532,0.07,-0.301448254484917,-0.703628365118145
CU1,0.368,0.338,0.472,0.388,-0.50072098270679,-1.16859653810091,-42.0538416356885,0.134,-0.350578961430273,-0.618438847583654
CU2,0.398,0.37,0.414,0.396,0.271679582203769,-0.651800442495415,-11.004215584372,0.044,-0.195540132748624,-0.478444155842263
CU3,0.306,0.284,0.348,0.316,0.134512918332879,-1.02094773971744,-24.3669043815936,0.064,-0.306284321915231,-0.738391041866472
CU4,0.392,0.348,0.468,0.404,-0.282241632326931,-0.824628641879354,-37.3559499262074,0.12,-0.247388592563806,-0.612392621741104
CU5,0.43,0.302,0.542,0.426,-1.51723307950374,-2.21004134069658,-197.556168853074,0.24,-0.663012402208973,-1.63269561035599
