vpNames,peakLat,onset,offset,areaLat,mean,peakAmp,area,width,baseline,meanAmp
CE8,0.346,0.32,0.426,0.372,-0.808594841491462,-3.00777281917605,-123.457382934003,0.106,-0.902331845752816,-2.28624783211117
CE9,0.284,0.254,0.316,0.286,-0.104535161944174,-0.947014480534743,-20.9758908235714,0.062,-0.284104344160423,-0.655496588236606
CF0,0.408,0.242,0.464,0.358,-1.34403407586369,-1.79459973698047,-142.122654938783,0.222,-0.538379921094141,-1.26895227623914
CF1,0.372,0.316,0.432,0.374,-1.55920233433561,-3.21562525481883,-111.82600165049,0.116,-0.964687576445649,-1.89535596017779
CF2,0.408,0.332,0.494,0.372,0.622108287982462,0.273250773045424,-0,0,0.0819752319136272,0.287425475029227
CI0,0.36,0.268,0.42,0.35,-2.18719997982891,-3.68389801370096,-217.985627454409,0.152,-1.10516940411029,-2.83098217473258
CI1,0.348,0.246,0.376,0.32,-0.719800508015782,-1.99447758664903,-89.6502491243452,0.13,-0.598343275994708,-1.35833710794462
CI2,0.318,0.268,0.418,0.328,-2.1213783846419,-4.36477617712728,-190.691741713907,0.15,-1.30943285313818,-2.50910186465667
CI3,0.268,0.238,0.36,0.294,-1.10299019130119,-2.77131186683671,-116.342533679515,0.122,-0.831393560051014,-1.87649247870185
CI4,0.344,0.316,0.374,0.348,-0.328852546798041,-0.974409151472716,-19.7137805352793,0.058,-0.292322745441815,-0.657126017842642
CI5,0.286,0.264,0.306,0.288,0.550972865942198,-0.53406192410474,-9.1766286763631,0.042,-0.160218577231422,-0.417119485289232
CI6,0.308,0.252,0.422,0.338,-1.37131679448116,-2.19696155343979,-141.497404516705,0.17,-0.659088466031937,-1.645318657171
CI7,0.284,0.256,0.318,0.288,-1.18623273935792,-4.71204273653052,-101.839675118659,0.062,-1.41361282095916,-3.1824898474581
CI8,0.322,0.274,0.374,0.324,-0.915902611446983,-2.49478947898506,-92.4436588188675,0.1,-0.748436843695518,-1.81262076115426
CI9,0.35,0.336,0.362,0.352,0.00220170853414156,-0.368084228047772,-4.24851831843624,0.026,-0.110425268414332,-0.303465594174017
CJ0,0.306,0.276,0.32,0.306,1.22461191575664,0.507411902878212,-0,0,0.152223570863464,1.05777993863753
CJ1,0.384,0.228,0.408,0.326,-0.716505245794124,-1.16743499890056,-77.4492501124892,0.18,-0.350230499670168,-0.851090660576803
CJ2,0.4,0.36,0.454,0.408,-0.588879174237329,-1.19175996082552,-39.2835340990988,0.094,-0.357527988247656,-0.818406960397892
CJ3,0.36,0.306,0.382,0.352,-0.58904013539143,-1.77606867307206,-47.3970843429758,0.076,-0.532820601921617,-1.2153098549481
CJ4,0.342,0.306,0.36,0.336,0.274873577284352,-1.31951177500967,-30.6929840384636,0.054,-0.395853532502902,-1.0961780013737
CJ5,0.314,0.248,0.39,0.32,-1.27362826183558,-2.69613319247671,-127.587385945834,0.142,-0.808839957743014,-1.77204702702548
CJ6,0.368,0.264,0.386,0.342,-0.988007838014981,-1.88836513081087,-76.9510021051474,0.122,-0.566509539243262,-1.24114519524431
CJ7,0.324,0.304,0.364,0.334,-0.203558431820647,-0.927935621961664,-21.3640617757375,0.06,-0.278380686588499,-0.689163283088307
CM0,0.372,0.29,0.428,0.37,-0.835418278859065,-1.86495563897023,-89.156859402546,0.138,-0.559486691691068,-1.27366942003637
CM1,0.276,0.248,0.424,0.32,-1.01082210347506,-1.73090204213755,-103.15730569801,0.176,-0.519270612641265,-1.15907085053944
CM2,0.328,0.24,0.396,0.322,-1.19423105597851,-2.39928281429364,-121.617376773036,0.156,-0.719784844288092,-1.53946046548147
CM3,0.392,0.376,0.408,0.394,0.196122553601347,-0.447265544770636,-5.96297077677626,0.032,-0.134179663431191,-0.350762986869192
CM4,0.306,0.246,0.398,0.314,-2.21467000333265,-3.62603095482614,-199.857550677811,0.152,-1.08780928644784,-2.59555260620534
CM5,0.346,0.296,0.368,0.338,-0.0919041441058473,-0.985053842957104,-25.2849593986148,0.072,-0.295516152887131,-0.683377281043644
CM6,0.282,0.24,0.346,0.292,-2.23141159314372,-5.77323451432949,-205.887472679409,0.106,-1.73197035429885,-3.81273097554461
CM8,0.29,0.252,0.314,0.286,-1.08216748071454,-1.9049096903494,-44.1366664540656,0.062,-0.57147290710482,-1.37927082668955
CM9,0.392,0.352,0.43,0.394,-1.19417752740941,-3.27767925432784,-93.4429749597789,0.078,-0.983303776298352,-2.33607437399447
CN0,0.314,0.196,0.368,0.294,-1.67274140315142,-3.94465664224306,-225.089480106929,0.172,-1.18339699267292,-2.58723540352792
CN1,0.29,0.262,0.34,0.296,-0.395363840583153,-1.34433042015253,-32.6169148327041,0.078,-0.403299126045759,-0.815422870817603
CN2,0.332,0.306,0.394,0.344,-0.971897993269079,-2.59794640343034,-73.8852609980279,0.088,-0.779383921029101,-1.64189468884507
CN3,0.386,0.322,0.426,0.374,-0.718693583940918,-1.29363445166092,-51.3761174187665,0.104,-0.388090335498275,-0.969360706014463
CN4,0.27,0.212,0.418,0.306,-2.042707027401,-2.99481803055281,-236.022577776168,0.206,-0.898445409165843,-2.26944786323238
CN5,0.252,0.222,0.404,0.31,-1.99991524332003,-3.32657096417514,-223.453376798587,0.182,-0.997971289252543,-2.42884105215855
CQ0,0.352,0.342,0.368,0.354,0.123045066696476,-0.30304941990739,-3.43623535349033,0.026,-0.090914825972217,-0.244265414255227
CU0,0.268,0.208,0.484,0.352,-1.22061352185754,-1.95844968026247,-167.874063269435,0.276,-0.587534904078742,-1.20772707388082
CU1,0.274,0.256,0.382,0.3,-0.449053753073047,-1.28031608916731,-46.3680785108198,0.126,-0.384094826750192,-0.724501226731559
CU2,0.406,0.398,0.424,0.41,0.501267492334664,-0.0948035169348801,-1.17223654897686,0.026,-0.028441055080464,-0.0837311820697757
CU3,0.352,0.332,0.374,0.354,0.30128712642851,-0.556870935106378,-8.75322496161963,0.042,-0.167061280531913,-0.397873861891802
CU4,0.416,0.372,0.436,0.408,0.0332214173534108,-0.858469473073834,-20.6781803343284,0.064,-0.25754084192215,-0.62661152528268
CU5,0.428,0.324,0.468,0.41,-0.450596396280782,-1.73393497045516,-76.5431576479476,0.144,-0.520180491136548,-1.04853640613627
