vpNames,peakLat,onset,offset,areaLat,mean,peakAmp,area,width,baseline,meanAmp
CE0,0.356,0.33,0.374,0.344,0.453470798541139,0.0433972656322262,-0,0,0.0130191796896679,0.124470533674188
CE1,0.292,0.252,0.302,0.29,0.32238862749103,-0.832390893642026,-14.676263475091,0.05,-0.249717268092608,-0.564471672118885
CE2,0.332,0.288,0.398,0.338,-0.20626622581832,-1.18025496546808,-42.6867522620569,0.11,-0.354076489640425,-0.762263433251017
CE3,0.354,0.328,0.396,0.36,-0.307186644897326,-1.58185054206495,-39.1099485978135,0.068,-0.474555162619486,-1.11742710279467
CE4,0.42,0.394,0.444,0.422,-0.531800896964527,-1.90152283353796,-34.3985873872179,0.05,-0.570456850061388,-1.32302259181607
CE6,0.38,0.342,0.424,0.384,-0.735113678434284,-2.55537990721824,-76.8722655332692,0.082,-0.766613972165471,-1.83029203650641
CE7,0.39,0.332,0.44,0.386,-0.946256640386229,-1.56677898204566,-59.3134003461506,0.108,-0.470033694613699,-1.0784254608391
CE8,0.334,0.322,0.378,0.348,0.585054721996643,-0.80281781855791,-19.2392827805405,0.056,-0.240845345567373,-0.663423544156568
CE9,0.394,0.358,0.444,0.4,-0.317511357038569,-0.786707956562664,-22.1839416635517,0.086,-0.236012386968799,-0.504180492353447
CF0,0.306,0.264,0.338,0.304,-1.26879656819868,-2.38215151592157,-61.699488776861,0.074,-0.714645454776472,-1.62367075728582
