vpNames,peakLat,onset,offset,areaLat,mean,peakAmp,area,width,baseline,meanAmp
CI8,0.346,0.28,0.42,0.354,-1.00565855524342,-2.25590491079553,-112.115068800649,0.14,-0.676771473238659,-1.57908547606548
CI9,0.262,0.21,0.358,0.276,-0.763680211447391,-1.67095690555435,-84.6607859779228,0.148,-0.501287071666305,-1.12881047970564
CJ0,0.306,0.334,0.374,0.35,0.655563988768484,0.364034838747768,-0,0,0.10921045162433,0.469557052919114
CJ1,0.376,0.284,0.468,0.372,-0.904567697283393,-1.58972871417075,-101.298998473936,0.184,-0.476918614251225,-1.0892365427305
CJ2,0.268,0.252,0.314,0.276,-0.450660582688493,-0.899900957406666,-18.1392075978947,0.062,-0.269970287222,-0.566850237434209
CJ3,0.358,0.176,0.504,0.344,-1.85413457156771,-2.54580361401913,-287.859222247111,0.328,-0.763741084205739,-1.74460134695219
CJ4,0.326,0.244,0.382,0.326,-0.708836924660826,-1.59454968754465,-75.9997349966262,0.138,-0.478364906263395,-1.0857104999518
CJ5,0.31,0.264,0.456,0.372,-0.589753143522439,-0.791244980251586,-60.784877807844,0.192,-0.237373494075476,-0.626648224823134
CJ6,0.362,0.254,0.42,0.342,-0.938118893697141,-1.41870524241561,-90.6132276647163,0.166,-0.425611572724682,-1.07872890077043
CJ7,0.372,0.358,0.392,0.376,-0.146727243276826,-0.561838388402602,-7.61449848874699,0.034,-0.16855151652078,-0.423027693819277
CM0,0.388,0.352,0.418,0.388,-0.236170340567119,-1.90869368739604,-47.2371789262456,0.066,-0.572608106218811,-1.3893287919484
CM1,0.308,0.27,0.434,0.346,-1.2184131729647,-2.11056303309605,-117.514439768044,0.164,-0.633168909928815,-1.41583662371137
CM2,0.378,0.284,0.402,0.354,-0.833226102356423,-1.99144684026467,-76.9400863630626,0.118,-0.5974340520794,-1.28233477271771
CM3,0.352,0.302,0.436,0.368,-0.428178381149618,-1.16322406487569,-55.7156298362165,0.134,-0.348967219462707,-0.819347497591419
CM4,0.306,0.254,0.442,0.332,-1.96460076787343,-3.2596906463726,-194.091739342278,0.188,-0.97790719391178,-2.04307094044503
CM5,0.348,0.272,0.382,0.332,-0.455647437882326,-1.41942235656245,-57.189666383696,0.11,-0.425826706968735,-1.021244042566
CM6,0.306,0.204,0.412,0.302,-2.4770726326374,-4.6965453921054,-331.089496206306,0.208,-1.40896361763162,-3.15323329720292
CM8,0.382,0.36,0.406,0.384,-0.577247064690778,-1.08261671337565,-17.62212953772,0.046,-0.324785014012696,-0.734255397405
CM9,0.308,0.252,0.48,0.358,-1.68250544185703,-2.22887003071285,-180.491159613846,0.228,-0.668661009213855,-1.56948834446823
CN0,0.314,0.198,0.406,0.294,-1.76208276159597,-3.14533902168932,-236.025500707692,0.208,-0.943601706506797,-2.24786191150183
CN1,0.412,0.374,0.42,0.408,0.27082115482088,-0.151048012767742,-2.76630310336659,0.046,-0.0453144038303226,-0.114703231859737
CN2,0.394,0.348,0.412,0.384,0.0456098147693745,-1.119621796911,-29.2599902893046,0.064,-0.335886539073301,-0.886666372403168
CN3,0.408,0.366,0.424,0.4,-0.13451872935819,-0.799410137942665,-19.0324780978569,0.058,-0.2398230413828,-0.634415936595229
CN4,0.332,0.234,0.414,0.324,-2.6307324546141,-3.99790951473231,-266.091448048819,0.18,-1.19937285441969,-2.92408184669032
CN5,0.394,0.324,0.42,0.374,-1.6586980379512,-2.92887576523312,-115.473276556038,0.096,-0.878662729569937,-2.35659748073548
CQ0,0.272,0.268,0.278,0.274,0.30387836376664,-0.0338891903006153,-0.588191453190769,0.01,-0.0101667570901846,-0.0980319088651282
CU0,0.288,0.236,0.426,0.318,-0.833541370839725,-1.4734281672294,-87.1395553592539,0.19,-0.44202845016882,-0.907703701658894
CU1,0.4,0.362,0.422,0.396,-0.11990872439312,-1.07083389655275,-24.879806680837,0.06,-0.321250168965825,-0.802574409059259
CU2,0.444,0.432,0.456,0.446,0.200103131020251,-0.218174403236323,-2.43219178371028,0.024,-0.065452320970897,-0.187091675670021
CU3,0.326,0.26,0.348,0.312,-0.146375053137649,-1.0238852456335,-29.8974652759096,0.088,-0.307165573690049,-0.664388117242436
CU4,0.388,0.37,0.458,0.406,0.0480755695187229,-0.514727762860694,-15.3579540541938,0.088,-0.154418328858208,-0.341287867870974
CU5,0.438,0.402,0.594,0.512,0.0647255900600029,-1.04902288687749,-73.9392106109057,0.192,-0.314706866063246,-0.762259903205214
